"FullName","LastWriteTime","Length"
"C:\Users\Donizete Senne\Desktop\recent_files_report.csv","14/05/2026 10:52:03","0"
"C:\Users\Donizete Senne\Desktop\RELATORIO_PRODUCAO_AMAZON_QUICK.md","14/05/2026 10:52:02","2095"
"C:\Users\Donizete Senne\Microsoft\Power BI Desktop Store App\WebView2\EBWebView\Default\Network\Network Persistent State","14/05/2026 10:51:35","4292"
"C:\Users\Donizete Senne\.gemini\tmp\donizete-senne\chats\session-2026-05-14T12-17-44bc24ac.jsonl","14/05/2026 10:51:32","66390"
"C:\Users\Donizete Senne\.gemini\tmp\donizete-senne\logs.json","14/05/2026 10:51:23","35622"
"C:\Users\Donizete Senne\.quickwork\profiles\social-bf8f5b70177c\sessions\scheduled-system-orchestrator-agent--ffa22aee\workspace\tools\recall_memories\recall_memories_001.txt","14/05/2026 10:51:22","2504"
"C:\Users\Donizete Senne\.quickwork\metrics\.usage_session.json","14/05/2026 10:51:22","152"
"C:\Users\Donizete Senne\.quickwork\profiles\social-bf8f5b70177c\sessions\scheduled-automation-architect-agent--cddcf7bd\workspace\tools\recall_memories\recall_memories_001.txt","14/05/2026 10:51:19","2517"
"C:\Users\Donizete Senne\.quickwork\profiles\social-bf8f5b70177c\triggers\state\outlook-upcoming-events.json","14/05/2026 10:51:18","153"
"C:\Users\Donizete Senne\.quickwork\profiles\social-bf8f5b70177c\triggers\state\outlook-new-inbox.json","14/05/2026 10:51:18","153"
"C:\Users\Donizete Senne\.quickwork\profiles\social-bf8f5b70177c\triggers\state\slack-activity.json","14/05/2026 10:51:18","333"
"C:\Users\Donizete Senne\.quickwork\metrics\metrics-2026-05-14.jsonl","14/05/2026 10:51:08","3794485"
"C:\Users\Donizete Senne\.quickwork\metrics\.milestones.json","14/05/2026 10:51:08","247"
"C:\Users\Donizete Senne\.aws\sso\cache\26e0d16a4fcce1a95a3867a5f4b6f5f4fc8a80e1.json","14/05/2026 10:50:49","5975"
"C:\Users\Donizete Senne\Microsoft\Power BI Desktop Store App\WebView2\EBWebView\Default\Preferences","14/05/2026 10:50:37","12514"
"C:\Users\Donizete Senne\Microsoft\Power BI Desktop Store App\WebView2\EBWebView\Default\Cache\Cache_Data\data_1","14/05/2026 10:50:35","270336"
"C:\Users\Donizete Senne\Microsoft\Power BI Desktop Store App\WebView2\EBWebView\Local State","14/05/2026 10:50:32","16316"
"C:\Users\Donizete Senne\Microsoft\Power BI Desktop Store App\WebView2\EBWebView\GrShaderCache\data_0","14/05/2026 10:50:23","45056"
"C:\Users\Donizete Senne\Microsoft\Power BI Desktop Store App\WebView2\EBWebView\Default\Network Action Predictor-journal","14/05/2026 10:50:22","0"
"C:\Users\Donizete Senne\Microsoft\Power BI Desktop Store App\WebView2\EBWebView\Default\Network Action Predictor","14/05/2026 10:50:22","53248"
"C:\Users\Donizete Senne\Microsoft\Power BI Desktop Store App\WebView2\EBWebView\Default\Code Cache\js\index-dir\the-real-index","14/05/2026 10:50:19","10440"
"C:\Users\Donizete Senne\Microsoft\Power BI Desktop Store App\WebView2\EBWebView\Default\Code Cache\wasm\index-dir\the-real-index","14/05/2026 10:50:19","456"
"C:\Users\Donizete Senne\Microsoft\Power BI Desktop Store App\WebView2\EBWebView\GraphiteDawnCache\data_1","14/05/2026 10:50:03","270336"
"C:\Users\Donizete Senne\Microsoft\Power BI Desktop Store App\WebView2\EBWebView\GrShaderCache\data_1","14/05/2026 10:50:03","532480"
"C:\Users\Donizete Senne\Microsoft\Power BI Desktop Store App\WebView2\EBWebView\Default\DawnGraphiteCache\data_1","14/05/2026 10:50:02","270336"
"C:\Users\Donizete Senne\Microsoft\Power BI Desktop Store App\WebView2\EBWebView\Default\DawnWebGPUCache\data_1","14/05/2026 10:50:02","270336"
"C:\Users\Donizete Senne\Microsoft\Power BI Desktop Store App\WebView2\EBWebView\Default\GPUCache\data_1","14/05/2026 10:50:02","270336"
"C:\Users\Donizete Senne\Microsoft\Power BI Desktop Store App\WebView2\EBWebView\Default\History-journal","14/05/2026 10:50:00","0"
"C:\Users\Donizete Senne\Microsoft\Power BI Desktop Store App\WebView2\EBWebView\Default\History","14/05/2026 10:50:00","360448"
"C:\Users\Donizete Senne\Microsoft\Power BI Desktop Store App\WebView2\EBWebView\Default\Cache\Cache_Data\data_0","14/05/2026 10:49:59","45056"
"C:\Users\Donizete Senne\Microsoft\Power BI Desktop Store App\WebView2\EBWebView\Default\Cache\Cache_Data\data_2","14/05/2026 10:49:59","1056768"
"C:\Users\Donizete Senne\Microsoft\Power BI Desktop Store App\WebView2\EBWebView\Default\DIPS-wal","14/05/2026 10:49:57","107152"
"C:\Users\Donizete Senne\Microsoft\Power BI Desktop Store App\WebView2\EBWebView\Default\blob_storage\c1c279a5-cb09-4221-97d4-6c858161da48\0","14/05/2026 10:49:44","5919537"
"C:\Users\Donizete Senne\Microsoft\Power BI Desktop Store App\WebView2\EBWebView\Default\WebStorage\QuotaManager-journal","14/05/2026 10:49:41","0"
"C:\Users\Donizete Senne\Microsoft\Power BI Desktop Store App\WebView2\EBWebView\Default\WebStorage\QuotaManager","14/05/2026 10:49:41","40960"
"C:\Users\Donizete Senne\Microsoft\Power BI Desktop Store App\AnalysisServicesWorkspaces\AnalysisServicesWorkspace_157dcd23-7917-426b-831c-9d793433ecd4\Data\09d49a23-d5d0-45dd-bf21-20cd3ef9ae46.6.db\metadata.sqlitedb","14/05/2026 10:49:38","1744896"
"C:\Users\Donizete Senne\Microsoft\Power BI Desktop Store App\User.zip","14/05/2026 10:49:34","41147"
"C:\Users\Donizete Senne\Microsoft\Power BI Desktop Store App\WebView2\EBWebView\ShaderCache\data_1","14/05/2026 10:49:32","270336"
"C:\Users\Donizete Senne\Microsoft\Power BI Desktop Store App\AnalysisServicesWorkspaces\AnalysisServicesWorkspace_157dcd23-7917-426b-831c-9d793433ecd4\Data\master.vmp","14/05/2026 10:49:22","4619"
"C:\Users\Donizete Senne\Microsoft\Power BI Desktop Store App\AnalysisServicesWorkspaces\AnalysisServicesWorkspace_157dcd23-7917-426b-831c-9d793433ecd4\Data\09d49a23-d5d0-45dd-bf21-20cd3ef9ae46.6.db.xml","14/05/2026 10:49:19","4235"
